delay,drop,filesize,tcp,bandwidth,time
200,0.1,1.04MB,"cubic",lowest,11.753
0,0.2,1.04MB,"cubic",lowest,9.427
50,0.2,1.04MB,"cubic",lowest,9.68
100,0.2,1.04MB,"cubic",lowest,10.06
200,0.2,1.04MB,"cubic",lowest,1.8
0,0,3.1MB,"cubic",lowest,29.37
50,0,3.1MB,"cubic",lowest,27.4
100,0,3.1MB,"cubic",lowest,27.875
200,0,3.1MB,"cubic",lowest,28.85
0,0.1,3.1MB,"cubic",lowest,27.27
50,0.1,3.1MB,"cubic",lowest,27.562
100,0.1,3.1MB,"cubic",lowest,27.725
200,0.1,3.1MB,"cubic",lowest,29.69
0,0.2,3.1MB,"cubic",lowest,27.464
50,0.2,3.1MB,"cubic",lowest,27.523
100,0.2,3.1MB,"cubic",lowest,28.04
200,0.2,3.1MB,"cubic",lowest,30.6
0,0,0.19MB,"reno",lowest,1.618
50,0,0.19MB,"reno",lowest,1.755
100,0,0.19MB,"reno",lowest,2.14
200,0,0.19MB,"reno",lowest,2.98
0,0.1,0.19MB,"reno",lowest,1.614
50,0.1,0.19MB,"reno",lowest,1.82
100,0.1,0.19MB,"reno",lowest,2.31
200,0.1,0.19MB,"reno",lowest,4.07
0,0.2,0.19MB,"reno",lowest,1.612
50,0.2,0.19MB,"reno",lowest,1.79
100,0.2,0.19MB,"reno",lowest,2.35
200,0.2,0.19MB,"reno",lowest,4.167
0,0,1.04MB,"reno",lowest,9.4
50,0,1.04MB,"reno",lowest,9.54
100,0,1.04MB,"reno",lowest,10.25
200,0,1.04MB,"reno",lowest,11.742
0,0.1,1.04MB,"reno",lowest,9.4
50,0.1,1.04MB,"reno",lowest,9.57
100,0.1,1.04MB,"reno",lowest,10.358
200,0.1,1.04MB,"reno",lowest,15.1
0,0.2,1.04MB,"reno",lowest,9.41
50,0.2,1.04MB,"reno",lowest,9.61
100,0.2,1.04MB,"reno",lowest,10.24
200,0.2,1.04MB,"reno",lowest,15.24
0,0,3.1MB,"reno",lowest,27.26
50,0,3.1MB,"reno",lowest,27.334
100,0,3.1MB,"reno",lowest,27.77
200,0,3.1MB,"reno",lowest,33.91
0,0.1,3.1MB,"reno",lowest,27.25
50,0.1,3.1MB,"reno",lowest,27.52
100,0.1,3.1MB,"reno",lowest,28.38
200,0.1,3.1MB,"reno",lowest,39.86
0,0.2,3.1MB,"reno",lowest,27.35
50,0.2,3.1MB,"reno",lowest,27.4
100,0.2,3.1MB,"reno",lowest,29.29
200,0.2,3.1MB,"reno",lowest,45.78
0,0,0.19MB,"vegas",lowest,1.612
50,0,0.19MB,"vegas",lowest,1.737
100,0,0.19MB,"vegas",lowest,2.2157
200,0,0.19MB,"vegas",lowest,3.39
0,0.1,0.19MB,"vegas",lowest,1.615
50,0.1,0.19MB,"vegas",lowest,1.736
100,0.1,0.19MB,"vegas",lowest,2.19
